Agency ID;Name;Created date;Agents;Categories;Credit flag;VAT Number;Agency charge;Agency charge usage;Phone;Phone 2;Phone 3;Phone 4;Phone 5;Phone 6;Phone 7;Cell;Cell 2;Cell 3;Cell 4;Fax;Fax 2;Fax 3;Email;Email 2;Email 3;Email 4;Email 5;Email 6;Facebook;Facebook 2;Skype;Twitter;Website;Website 2;Website 3;Instagram;Instagram 2;Instagram 3;Address;City;State;Zip;Country;Access;Address 2;City 2;State 2;Zip 2;Country 2;Access 2;Address 3;City 3;State 3;Zip 3;Country 3;Access 3
11;Second Floor Studios;2017-03-08 00:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hammer Deich 26-34;Hamburg;;22537;;;;;;;;;;;;;;
12;Studio Kai Uwe Gundlach;2017-03-08 00:00:00;Caroline Reischenbeck;;;;;;+49 40 61 01 89;;;;;;;;;;;+49 40 61 02 13;;;info@studiogundlach.de;;;;;;;;;;http://www.kaiuwegundlach.de;;;;;;Arndtstr. 24 a;Hamburg;;22085;;;;;;;;;;;;;;
13;Peppa Productions Ltd.;2017-03-08 00:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rothenbaumchaussee 156;Hamburg;;20149;;;;;;;;;;;;;;
14;Patrick Schwalb Photography;2017-03-08 00:00:00;Doreen Leifheit;;;;;;+49 (40) 40 58 15;;;;;;;+49- (172) 400 34 15 ;;;;+49 (40) 491 47 91 FAX;;;mobil@patrickschwalb.com;;;;;;;;;;;;;;;;Hirtenkamp 13 ;Hamburg;;22359;;;;;;;;;;;;;;
15;Krumbacher Leo;2017-03-08 00:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Clemens-Schulz-Straße 38;Hamburg;;20359;;;;;;;;;;;;;;
16;Maik Floeder;2017-03-08 00:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rappstr. 20;Hamburg;;20146;;;;;;;;;;;;;;
17;Double T Photographers Behrens & Kehr GbR;2017-03-08 00:00:00;Paula Alonso;;;;;;040 548 03 500;;;;;;;;;;;;;;mail@double-t-photographers.com;;;;;;;;;;http://www.double-t-phptographers.com;;;;;;Eppendorfer Landstrasse 61;Hamburg;;20249;;;;;;;;;;;;;;
18;Roy Robson Fashion GmbH & Co.KG;2017-03-08 00:00:00;Caroline Reischenbeck;Fashion;;;;;04131 / 887 - 131 - Claudia;;;;;;;;;;;;;;office@royrobson.com;;;;;;;;;;https://www.royrobson.com/;;;;;;Bleckeder Landstraße 18-20;Lüneburg;;21337;;;;;;;;;;;;;;
19;SchwertnerStormFries GmbH;2017-03-08 00:00:00;;;;;;;0221 949 940 00;;;;;;;;;;;;;;info@ssdf.de;;;;;;;;;;www.schwertnerstormfries.de;;;;;;Spichernstrasse 55;Köln;;50672;;;;;;;;;;;;;;
20;Akku Artproduction;2017-03-08 00:00:00;Paula Alonso;;;;0;0;+49 177 823 07 60;+49 40 280 96 841;;;;;;;;;;;;;info@enterakku.com;;;;;;;;;;http://www.enterakku.com/contact/;;;;;;Grindelallee 27;Hamburg;;20146;;;;;;;;;;;;;;
21;Herm. Stiesing GmbH;2017-03-08 00:00:00;;Fashion;;;20;20;;;;;;;;0172 423 9768;;;;;;;alke.hesterberg@stiesing.de;;;;;;;;;;;;;;;;Sögestrasse 35;Bremen;;28195;;;;;;;;;;;;;;
22;Condé Nast Verlag // GQ online;2017-03-08 00:00:00;Caroline Reischenbeck;Mag / Ed;;;0;0;+49 89 38104 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Karlstraße 23;München;;80333;;;;;;;;;;;;;;
23;Anna Russo;2017-03-08 00:00:00;Caroline Reischenbeck;;;;0;0;;;;;;;;0174/8495554;;;;;;;mail@annarusso.de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Kristian Golesic Fotografie;2017-03-08 00:00:00;Paula Alonso;;;;0;0;;;;;;;;0178/5314574;;;;;;;golesic@gmail.com;;;;;;;;;;http:kristijan-photography.tumblr.com;;;;;;Adalbertstr. 57;München;;80799;;;;;;;;;;;;;;
25;Funke Life GmbH - Bild der Frau;2017-03-08 00:00:00;Most Wanted Models@;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Postfach 104050;Essen;;45040;;;;;;;;;;;;;;
26;TERRA-VERLAG GMBHRED. HOCHZEIT;2017-03-10 11:12:20;Caroline Reischenbeck;Mag / Ed;;;;;07531 81 22-0  -DW 31;;;;;;;;;;;;;;litterscheidt@hochzeit-magazin.de;;;;;;;;;;;;;;;;NEUHAUSERSTR. 21;KONSTANZ;;78464;;;;;;;;;;;;;;
27;JENS  KÖNIG FOTOGRAFIE;2017-03-10 11:12:20;Most Wanted Models@;Fotograf;;;;;04542 99 59 584;;;;;;;;;;;;;;mail@jenskoenigphoto.com;;;;;;;;;;;;;;;;Kuckucksweg 12;Mölln;;23879;;;;;;;;;;;;;;
28;Bernd Opitz;2017-03-10 11:12:20;Paula Alonso;Fotograf;;;;;040 43197741;;;;;;;;;;;;;;mail@berndopitz.com;;;;;;;;;;http://www.berndopitz.com/contact_me-datenschutz;;;@berndopitz;;;Müggenkampstr. 14 a;Hamburg;;20257;;;;;;;;;;;;;;
29;Otto (GmbH & Co KG);2017-03-10 11:12:20;Most Wanted Models@;Katalog;;;12;12;040 - 64 61 0;;;;;;;;;;;;;;svenja.krueger@otto.de;;;;;;;;;;;;;;;;Werner-Otto-Straße 1-7;Hamburg;;22179;;;;;;;;;;;;;;
30;Studio Bokelberg;2017-03-07 00:00:00;;;;;;;040-444328;;;;;;;;;;;040-448412 (R);;;ebba@bokelberg.com;;;;;;;;;;;;;;;;Kleiner Kielort  4;Hamburg;;20144;;;;;;;;;;;;;;
31;Powerkeks Kross Kommunikation;2017-03-07 00:00:00;;Werbeag.;;;;;040 - 41 33 078 15 Nele;;;;;;;0173 2027690;;;;040-46966158;;;shasenbeck-berg@powerkeks.de;;;;;;;;;;www.powerkeks.de;;;;;;Hochallee 44;Hamburg;;20149;;;;;;;;;;;;;;
32;Faces for Fahion;2017-03-07 00:00:00;;Fotodesign;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nikolaus-Dürkopp-Straße 4a;Bielefeld;;33602;;;;;;;;;;;;;;
33;Isa Planck Fotografie;2017-03-07 00:00:00;Most Wanted Models@;Fotograf;;;;;0711 - 6074777;;;;;;;;;;;0711 - 6361669;;;studio@isa-planck-fotografie.de;;;;;;;;;;http://www.isa-planck-fotografie.de/;;;;;;Leinfeldenerstr. 56a;Stuttgart;;70597;;;;;;;;;;;;;;
34;Manuel Pandalis Photography;2017-03-07 00:00:00;Paula Alonso;Fotograf;;;;;040 689 900 68;;;;;;;;;;;;;;manuel@manuelpandalis.de;;;;;;;;;;http://www.manuelpandalis.de;;;;;;Suederstrasse 159 a;Hamburg;;20537;;;;;;;;;;;;;;
35;Schera GmbH;2017-03-07 00:00:00;Paula Alonso;Fashion;;;;;+49 6022 – 5089 – 222;Schera GmbH;;;;;;;;;;;;;info@schera.de;b.zahn@schera.de;;;;;;;;;https://seductive-pants.com/impressum/;;;;;;Grundtalring 22;Großwallstadt;;63868;Germany;;;;;;;;;;;;;
36;Casting-Location Production;2017-03-07 00:00:00;;Fotograf;;;;;040-33 44 22 72;;;;;;;0151-43110529;;;;;;;info@stefaninennecke.com;;;;;;;;;;;;;;;;Wateweg 33;Hamburg;;22559;;;;;;;;;;;;;;
39;Peter Rüssmann Fotografie;2017-03-07 00:00:00;;Fotograf;;;;;040 65 72 323;;;;;;;0171 140 35 51;;;;040 - 657 22 33;;;contact@peter-ruessmann.com;;;;;;;;;;www.peter-ruessmann.com;;;;;;Elbchaussee 342;Hamburg;;22609;;;;;;;;;;;;;;
40;zero clothing gmbH &Co;2017-03-07 00:00:00;;Fashion;;;;;+49 (0)421 449901 DW 127;;;;;;;;;;;;;;;;;;;;;;;;www.zero.de;;;;;;Konsul-Smidt-Straße 8g;Bremen;;28217;;;;;;;;;;;;;;
41;Harald Glööckler International GmbH;2017-03-07 00:00:00;Paula Alonso;Fashion;;;;;+49(0)30 30129507;Tel.: +49(0)30 408173 013;;;;;;;;;;+49(0)30 30129508;;;management@gloeoeckler.com;pr@gloeoeckler.com;;;;;;;;;https://www.haraldgloeoeckler.de/;;;;;;Unter den Linden 16;Berlin;;10117;;;;;;;;;;;;;;
42;Wiethe Content GmbH & Co.KG;2017-03-07 00:00:00;Paula Alonso;;;;20;20;0421 4089 7013;0421 4089 7068; finance@wiethe.com        Buchhaltung;Booking Assi;Andrea (Studioleitung);FAX: 0421/ 408970-11 (R);;;;;;;;;franziska.herzog@wiethe.com;;;;;;;;;;http://www.wiethe-objektiv.com;;;;;;"Konsul-Smidt-Strasse 14 A
Europahafen, Schuppen 1";Bremen;;28217;;;;;;;;;;;;;;
43;Otto Studios;2017-03-07 00:00:00;;Fotograf;;;12;12;+49 (0) 40 6461 7667 . sara köhler ...6387;;;;;;;;;;;;;;;;;;;;;;;;www.otto-fotostudio.de;;;;;;Werner-Otto-Straße 1-7;Hamburg;;22172;;;;;;;;;;;;;;
45;Die Kameradinnen Full Service Fotoproduktions Agentur GmbH;2017-03-07 00:00:00;Doreen Leifheit;;;;;;040-413 58 4-0;;;;;;;;;;;;;;;;;;;;;;;;http://www.diekameradinnen.de;http://www.diekameradinnen-studios.de;;;;;Arndtstrasse 23;Hamburg;;22085;;;;;;;;;;;;;;
46;CUT Magazine c/o independent medien design;2017-03-07 00:00:00;Caroline Reischenbeck;Mag / Ed;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;CUT Magazine;;;;;;Widenmayerstr. 16;München;;80538;;;;;;;;;;;;;;
47;Reno Mezger;2017-03-07 00:00:00;Paula Alonso;;;;0;0;+49 (0)40 3750 3414;;;;;;;;;;;;;;reno@reno-mezger.de;hello@reno-mezger.de;;;;;;;;;http://reno-mezger.de/index.php/about/;;;https://www.instagram.com/renomezger/;;;Anberg 1a;Hamburg;;20149;;;;;;;;;;;;;;
48;360 public relations Agentur für PR und Marketing;2017-03-07 00:00:00;Caroline Reischenbeck;PR- Agentur;;;0;0;+49 (0)89 5527927-11 // Laura Müller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Neureutherstraße 29;München;;80799;;;;;;;;;;;;;;
49;7e stores GmbH;2017-03-07 00:00:00;Paula Alonso;E-Commerce, Wäsche, Bademode;;;0;0;+49 30 4679970-13;;;;;;;;;;;+49 30 4679970-11;;;;;;;;;;;;;https://www.enamora.de/;;;;;;Alexander-Meißner-Str. 12-14;Berlin;;12526;Germany;;;;;;;;;;;;;
50;Fashion Communications GmbH;2017-03-10 11:12:20;Caroline Reischenbeck;Werbeag.;;;0;0;089 - 649833 10  sabrina scheicher;;;;;;;;;;;j.cajic@fashioncom.de;;;;;;;;;;;;;http://www.fashion-com.de;;;;;;Leopoldstraße 87;München;;80802;;;;;;;;;;;;;;
51;ESCADA  Online GmbH;2017-03-10 11:12:20;Paula Alonso;Fashion;;;;;089 - 99441385;;;;;;;;;;;99441568;;;giulia.miotti@de.escada.com;;;;;;;;;;;;;;;;Einsteinring 14-18;Aschheim bei München;;85609;;;;;;;;;;;;;;
52;Bauer Premium KG / Redaktion JOY & SHAPE;2017-03-10 11:12:20;Caroline Reischenbeck;Mag / Ed;;;;;+49 89 6786 7971;;;;;;;;;;;+49 89 6786 7979;;;renate.kufer@joy-mag.de;;;;;;;;;;;;;;;;Charles-de-Gaulle-Str. 8;München;;81737;;;;;;;;;;;;;;
53;Red.Cosmopolitan;2017-03-10 11:12:20;Caroline Reischenbeck;Mag / Ed;;;;;089 - 9234 -537,;;;;;;;0160-94941983;;;;089 - 9234 - 202;;;booking@cosmopolitan.de;;;;;;;;;;;;;;;;Arabellastr. 33;München;;81925;;;;;;;;;;;;;;
54;Kouneli Media GmbH - Redaktion Playboy;2017-03-10 11:12:20;Caroline Reischenbeck;Mag / Ed;;;;;089 - 9250 - 0;;;;;;;;;;;;;;info@ronaldbecker.com;;;;;;;;;;;;;;;;Kaiser-Ludwig-Platz 5;Munich;;80336;Germany;;;;;;;;;;;;;
55;Gardeur GmbH;2017-03-10 11:12:20;Caroline Reischenbeck;Fashion;;;;;02161 - 81 60;;;;;;;;;;;02161 - 18 38 33;;;a.thoenes@gardeur.de;;;;;;;;;;;;;;;;Alsstr. 155;Mönchengladbach;;41063;;;;;;;;;;;;;;
56;Alexandra Höner;2017-03-10 11:12:20;Caroline Reischenbeck;Fotograf;;;;;021264524466;;;;;;;0172 - 2632698;;;;0212 / 645 244 55;;;studio@alexhoener.com;;;;;;;;;;;;;;;;Wittkuller Str. 51;Solingen;;42719;;;;;;;;;;;;;;
57;Hunger & Simmeth GmbH;2017-03-10 11:12:20;Caroline Reischenbeck;Fotostudio;;;0;0;08231 - 60 58 70;;;;;;;;;;;08231 - 60 58 716;;;;;;;;;;;;;http://www.hungerundsimmeth.de  ;;;;;;Föllstr. 2b;Königsbrunn;;86343;;;;;;;;;;;;;;
58;Merlicek & Partner Werbegesellschaft m.b.H.;2017-03-10 11:12:20;Caroline Reischenbeck;Werbeag., Werbeagentur;;;;;+43 (0)1 523 46 45-0;;;;;;;;;;;;;;office@merlicek-partner.at;;;;;;;;;;https://merlicek-partner.at/;;;;;;Kirchengasse 3;Vienna;Wien;1070;Austria;;;;;;;;;;;;;
59;bigshrimp Hamburg GmbH;2017-03-10 11:12:20;Most Wanted Models@;TV-Comp.;;;;;040 - 20908 1620;;;;;;;;;;;040 - 27818927;;;hamburg@bigshrimp-production.de;;;;;;;;;;http://www.bigshrimp-production.de/;;;;;;Mühlenkamp 31;Hamburg;;22303;;;;;;;;;;;;;;
60;M.V.G. Red. SHAPE;2017-03-10 11:12:20;;Mag / Ed;;;;;089 - 9234 - 327;Dirk Hajek;Bilder verkauf . Nutzungsrechte;;;;;;;;;089 - 9234 409;;;renate.kufer@joy-mag.de;joyshapebild@mvg.de;ursula.schmied@mvg.de;;;;;;;;;;;;;;Charles-de-Gaulle-Straße 8;München;;81737;;;;;;;;;;;;;;
61;Wolfswinkler PR;2017-03-10 11:12:20;Old;PR- Agentur;;;;;089-43759622;;;;;;;0172 - 880 53 30;;;;089-43759623;;;Wolfswinkler@t-online.de;;;;;;;;;;;;;;;;Florastr. 6;München;;81827;;;;;;;;;;;;;;
62;FELIX RACHOR;2017-03-06 00:00:00;Caroline Reischenbeck;Fotograf;;;;;030 301 33 896;;;;;;;0176 61 059 666;;;;;;;info@felix-rachor.com;;;;;;;;;;http://www.rachor-photography.com;;;;;;Goethepark 13;Berlin;;10627;;;;;;;;;;;;;;
63;Franziska Nettel;2017-03-06 00:00:00;Caroline Reischenbeck;Fotodesign;;;;;;;;;;;;0174 - 33 69 289;;;;;;;info@franziska-nettel.de;;;;;;;;;;www.franziska-nettel.de;;;;;;Augsburgerstr. 28;Augsburg;;86157;;;;;;;;;;;;;;
64;ara Shoes AG;2017-03-06 00:00:00;Caroline Reischenbeck;Schuhe;;;;;+49 21731050;+49 2173 105-4129 (DW Fr. Gbür);;;;;;;;;;492173105108;;;j.gbuer@ara-shoes.de;;;;;;;;;;http://www.ara-shoes.de;;;;;;Zur Schlenkhecke 4;Langenfeld;;40764;;;;;;;;;;;;;;
65;SCHIERKE Artists GmbH;2017-03-06 00:00:00;Caroline Reischenbeck;Repräsentant;;;;;+49 89 189 55 25 0;;;;;;;+49 179 97 57 307;;;;+49 89 189 55 25 25;;;walter@wfb.rocks;;;;;;;;;;https://schierke.com/;;;;;;Baaderstr. 15;Munich;;80469;Germany;;Niddastraße 63;Frankfurt am Main;;60329;Germany;;;;;;;
66;Planet Sports GmbH;2017-03-06 00:00:00;Caroline Reischenbeck;Fashion;;;;;+49 89 321649-223;;;;;;;;;;;+49 89 321649-299;;;;;;;;;;;;;;;;;;;Flößergasse 4;München;;81369;;;;;;;;;;;;;;
67;Hugenberg ;2017-03-06 00:00:00;Caroline Reischenbeck;Fashion;;;;;089-12001670;;;;;;;0172-8250000;;;;;;;hugenberg.muenchen@t-online.de;;;;;;;;;;;;;;;;Zweibrückenstrasse 2;München;;80331;;;;;;;;;;;;;;
68;Munich dresses ;2017-03-06 00:00:00;Old;Fashion;;;;;089-76979595;;;;;;;0170-2915831;;;;;;;info@munichdresses.de;;;;;;;;;;;;;;;;Engelhardstrasse.32;München;;81369;;;;;;;;;;;;;;
69;Stylebop GmbH;2017-03-06 00:00:00;Caroline Reischenbeck;Mode;;;;;+49 89 2737189-1727;;;;;;;;;;;;;;beagy.zielinski@stylebop.com;;;;;;;;;;;;;;;;Maria-Merian-Straße 7;Ottobrunn;;85521;;;;Düsseldorf;;;Germany;;;;;;;
70;Kai Gräber - Produktion & Art Buying;2017-03-06 00:00:00;Doreen Leifheit;Fotograf;;;;;;;;;;;;+49 (0)171 629 70 77;;;;;;;mail@kaigraeber.de;;;;;;;;;;http://www.kaigraeber.de;;;;;;Hartje - Rüter - Weg 26;Hamburg;;22399;Germany;;;;;;;;;;;;;
71;Baldessarini GmbH;2017-03-06 00:00:00;Caroline Reischenbeck;;;;0;0;+49 89 30 66 84-0;;;;;;;;;;;;;;annett.brouwers@baldessarini.com;;;;;;;;;;;;;;;;Wilhelm-Wagenfeld-Str. 24;München;;80807;;;;;;;;;;;;;;
72;Komet und Helden GmbH;2017-03-06 00:00:00;Caroline Reischenbeck;Showroom;;;0;0;  +49 (89) 97 05 28  0;;;;;;;;;;;+49 (89) 97 05 28   10;;;;;;;;;;;;;;;;;;;"Lodenfrey Park / Haus F / Eingang 21
Osterwaldstr. 10";München;;80805;;;;;;;;;;;;;;
73;IgelProduction;2017-03-06 00:00:00;Paula Alonso;;;;0;0;0176 / 93 19 76 13;;;;;;;;;;;;;;contact@igelproduction.com;;;;;;;;;;;;;;;;Bergstraße 3a;Trierweiler;;54311;;;;;;;;;;;;;;
74;pagework GmbH;2017-03-06 00:00:00;Most Wanted Models@;;;;20;20;040 694498 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Heinrich-Hertz-Str. 141;Hamburg;;22083;;;;;;;;;;;;;;
75;Marie Bärsch Fotografie;2017-03-06 00:00:00;Caroline Reischenbeck;Fotograf;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Jolie Redaktion Vision Media GmbH;2017-03-06 00:00:00;Caroline Reischenbeck;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leonrodstr.52;München;;80636;;;;;;;;;;;;;;
77;Sylvia Paula Weber Styling & Production;2017-03-06 00:00:00;Caroline Reischenbeck;;;;0;0;;;;;;;;0179 70 59 578;;;;;;;;;;;;;;;;;;;;;;;Klenzestr.37;München;;80469;;;;;;;;;;;;;;
78;Patrick Styrnol;2017-03-06 00:00:00;Caroline Reischenbeck;Fotograf;;;0;0;;;;;;;;+49 (0)175 / 246 70 98;;;;;;;mail@patrickstyrnol.de;;;;;;;;;;https://patrickstyrnol.com/;;;;;;Sophie-Scholl-Str.10;Iserlohn;;58636;;;;;;;;;;;;;;
79;Martin Strattner Photography;2017-03-06 00:00:00;Most Wanted Models@;;;;0;0;;;;;;;;;;;;;;;fotografie@martinstrattner.de;;;;;;;;;;http:www.martinstrattner.defotoblog;;;;;;Guldensteinstr. 34;München;;;;;;;;;;;;;;;;
80;Petra Obermüller Fotografie;2017-03-10 11:12:20;Doreen Leifheit;Fotografin;;;20;20;040 - 209 - 321 - 056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lilienstr. 11   ;Hamburg;;20095;;;;;;;;;;;;;;
81;Ahlers AG;2017-03-10 11:12:20;Caroline Reischenbeck;Fashion;;;;;05221-979-272   Frau strehle;05221 979 266 Asja;;;;;;;;;;;;;;;;;;;;;;;ecommerce@ahlers-group.com;;;;;;Elverdisserstr.313;Herford;;32052;;;;;;;;;;;;;;
83;MYKITA GmbH;2017-03-10 11:12:20;Paula Alonso;Fashion;;;;;Tel: +49 30 204566 393 ;;;;;;;;;;;;;;c.foelster@mykita.com;;;;;;;;;; www.mykita.com;;;;;;Ritterstr. 9;Berlin;;10969;;;;;;;;;;;;;;
84;Roba Press Medienagentur GmbH;2017-03-03 00:00:00;;;;;;;040 -  41 41 08- 33 Nina;;;;;;;silke.augustin@robaimages.com;;;;Yve Stahlhut /Henkel;;;;;;;;;;;;;;;;;;;Neue Rabenstrasse 3;Hamburg;;20354;;;;;;;;;;;;;;
85;Baur Versand (GmbH & Co KG);2017-03-03 00:00:00;Caroline Reischenbeck;Werbeag.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Michael-Dechant-Straße 10;Weismain;;96260;;;;;;;;;;;;;;
86;LIQUID PHOTOGRAPHY Löschke & Schöne GbR;2017-03-03 00:00:00;Most Wanted Models@;Fotograf;;;;;040-771 898 72;;;;;;;;;;;;;;Katrin@liquid-photography.com;;;;;;;;;;http://www.liquid-photography.com;;;;;;Eimsbütteler Chausee 23;Hamburg;;20259;;;;;;;;;;;;;;
87;7trends-Enamora GmbH;2017-03-03 00:00:00;Most Wanted Models@;Fashion, Bademode, E-Commerce, Wäsche;;;;;030-4679970-13;;;;;;;0178-4274746;;;;030-4679970-11;;;;;;;;;;;;;;;;;;;Greifswalderstr.154;Berlin;;10409;Germany;;;;;;;;;;;;;
88;Paul Ripke Fotograf Ripke GmbH;2017-03-03 00:00:00;;Fotograf;;;;;040- 85179394;;;;;;;;;;;;;;info@paulripke.de;;;;;;;;;;;;;;;;Paulinenallee 56;Hamburg;;22769;;;;;;;;;;;;;;
89;Martin Bauendahl;2017-03-03 00:00:00;;Fotograf;;;;;040 27 80 98 96;;;;;;;;;;;;;;office@bauendahl.com;;;;;;;;;;www.bauendahl.com;;;;;;Susannenstr. 21 A Hinterhaus/backyard;Hamburg;;20146;;;;;;;;;;;;;;
90;Mike Meyer Photography;2017-03-03 00:00:00;Caroline Reischenbeck;Fotograf;;;;;;;;;;;;0160 95 62 59 09;;;;;;;corinna@mikemeyer-photography.com;mike@mikemeyer-photography.com;;;;;;;;;http:www.mikemeyer-photography.de;;;;;;Marienbader Straße 17;Höchstadt a. d. Aisch ;;91315;Germany;;;;;;;;;;;;;
91;Kitaro Textilhandel GmbH;2017-03-03 00:00:00;;Fashion;;;;;0049 (0) 2161 94692 - 0;;;;;;;;;;;;;;info@kitaro.de;;;;;;;;;;;;;;;;Künkelstr. 125;Mönchengladbach;;41063;;;;;;;;;;;;;;
92;Lux die Agentur Hoheisel & Hoheisel GbR;2017-03-03 00:00:00;Doreen Leifheit;Werbeag.;;;;;+49 (0)40 450 371 90;;;;;;;;;;;;;;modelle@lux-dieagentur.de;;;;;;;;;;http://www.lux-dieagentur.de;;;;;;Geschwister-Scholl-Straße 33;Hamburg;;20251;;;;;;;;;;;;;;
93;Beka Kammann Casting & Booking;2017-03-03 00:00:00;Doreen Leifheit;;;;;;+49 30 85 99 46 55;;;;;;;0160-60 484 69;;;;;;;bk@beka-kammann.de;;;;;;;;;;;;;;;;Ehrwalder Strasse 3;Berlin;;10825;;;;;;;;;;;;;;
94;AprilMay;2017-03-03 00:00:00;Most Wanted Models@;Fotoproduktion;;;20;20;49 30 / 349 964 495;;;;;;;cell +49 172 / 179 15 98 ;;;;fax  +49 30 / 349 964 79;;;;;;;;;;;;;;;;;;;Karl-Marx-Alle 109;Berlin;;10243;;;;;;;;;;;;;;
96;STRENESSE NEW GmbH;2017-03-10 11:12:21;Paula Alonso;Fashion;;;;;09081 - 8070;Phone:	+49-90 81-8 07-113 M;0151-17274594  - SANDRA HANDY NUMMER ;0160 7059833 0160 7059833 carolin strenesse ;;;;0175-247-9918;Phone:	+49-90 81-8 07-11;Mobil:	+49-1 71- 8 60 29 67 . micaela; +49-90 81-8 07-2 34  - Sandra;09081 - 6448;;;Micaela.Sabatier@strenesse.com;;;;;;;;;;;;;;;;EICHENDORFFPLATZ  3;NÖRDLINGEN;;86720;;;;;;;;;;;;;;
97;Intention Werbeagentur GmbH;2017-03-02 00:00:00;Caroline Reischenbeck;Werbeag.;;;0;0;0228 / 9 77 34 - 0;;;;;;;;;;;;;;claudia_ehl@intention.de;;;;;;;;;;;;;;;;Pützchens Chaussee 137;Bonn;;53229;;;;;;;;;;;;;;
